,M6.0,M6.5,M7.0,M7.5,M8.0,M8.5,M9.0
2016-04-11,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-13,1.5,1.5,0.5,0.5,0.5,0.5,0.5
2016-04-14,3.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-15,1.5,1.5,1.5,0.5,0.5,0.5,0.5
2016-04-16,0.5,0.5,0.5,1.5,0.5,0.5,0.5
2016-04-17,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-18,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-19,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-20,2.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-21,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-22,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-23,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-24,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-25,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-26,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-27,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-04-28,0.5,1.5,1.5,0.5,0.5,0.5,0.5
2016-04-29,0.5,1.5,0.5,0.5,0.5,0.5,0.5
2016-04-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-01,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-02,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-03,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-04,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-05,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-06,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-07,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-08,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-09,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-10,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-11,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-13,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-14,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-15,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-16,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-17,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-18,0.5,2.5,0.5,0.5,0.5,0.5,0.5
2016-05-19,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-20,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-21,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-22,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-23,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-24,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-25,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-26,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-27,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-28,0.5,1.5,1.5,0.5,0.5,0.5,0.5
2016-05-29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-05-31,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-01,0.5,1.5,0.5,0.5,0.5,0.5,0.5
2016-06-02,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-03,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-04,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-05,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-06,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-07,2.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-08,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-09,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-10,2.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-11,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-13,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-14,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-15,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-16,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-17,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-18,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-19,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-20,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-21,2.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-22,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-23,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-24,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-25,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-26,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-27,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-28,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-29,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-06-30,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-01,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-02,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-03,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-04,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-05,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-06,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-07,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-08,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-09,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-10,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-11,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-12,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-13,1.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-14,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-15,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-16,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-17,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-18,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016-07-19,0.5,0.5,0.5,0.5,0.5,0.5,0.5
